,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:04:21.633028857Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T12:04:21.665390027Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:04:22.101608594Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T13:04:22.124539265Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:04:23.103026329Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T14:04:23.128435936Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:04:23.441932465Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T15:04:23.463083599Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:04:24.293419066Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T16:04:24.314785955Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
,_result,1,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:47:37.87200781Z,26,hs_req_bytes,telemetry_handshake,1.1.0-KN-ASCON128,Kyber768,DCB4D90A0578
