,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,kex_algo,node,phase
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T19:01:37.859276127Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T20:01:38.53342519Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T21:01:38.88550351Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T22:01:39.740132416Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,2,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T23:01:40.459327441Z,153,hs_resp_bytes,telemetry_handshake,1.0.0-KN-AES128GCM,ECDH-secp384r1,E8F60A859440,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:01:14.556907133Z,537,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T00:01:15.160839899Z,558,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T01:01:15.673047125Z,547,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T02:01:16.192561293Z,515,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T03:01:16.31887767Z,636,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T04:01:19.308538423Z,971,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
,_result,3,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-21T05:01:20.697211455Z,549,hs_latency_ms,telemetry_handshake,1.0.0-SR-AES128GCM,ECDH-secp384r1,CC8DA20CE224,charlie
