,result,table,_start,_stop,_time,_value,_field,_measurement,fw_version,node
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:26.983701118Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:27.012863078Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:32.23510008Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:32.25672404Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:36.964463Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:36.985360971Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:41.972611704Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:41.999595197Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:46.960850952Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:46.987257527Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:51.974610854Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:51.998808387Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:57.131902324Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:03:57.150807195Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:01.988479924Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:02.013925161Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:07.047402618Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:07.068987245Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:11.983288128Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:12.006615415Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:17.047544337Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:17.064527661Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:22.026570436Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:22.045272235Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:27.248241169Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:27.26777166Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:31.986103325Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:32.009643757Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:37.025613601Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:37.048443989Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:42.002395955Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:42.023985805Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:47.216955386Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:04:47.233866268Z,0,relay_state,telemetry_relay,1.1.0-SR-ASCON128,DCB4D90B5258
