,result,table,_start,_stop,_time,_value,_field,_measurement,phase
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:37:31.399900318Z,11.7,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:37:36.559935879Z,9.8,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:37:41.751481526Z,10.9,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:37:56.122013678Z,9.9,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:38:00.065338805Z,10.6,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:38:01.276267586Z,10.9,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:38:41.382792534Z,9.7,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:38:49.548304636Z,10.7,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:39:00.054039399Z,10.8,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:39:21.504601478Z,9.8,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:39:26.534526283Z,10.7,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:39:51.314156209Z,9.8,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:39:57.409999133Z,11,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:40:00.091610311Z,10.9,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:40:26.31675641Z,9.7,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:40:31.326647646Z,10.7,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:41:00.091708127Z,10.8,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:42:00.072016634Z,10.9,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:43:00.049209038Z,11.1,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:44:00.043127992Z,10.6,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:45:00.076327475Z,10.2,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:45:45.97314183Z,9.6,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:45:52.044537652Z,10.6,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:46:00.070656865Z,10.5,power_w,energy,alpha
,_result,0,2026-07-20T23:00:00Z,2026-07-21T23:15:00Z,2026-07-20T23:47:00.04150762Z,10.7,power_w,energy,alpha
