time,node,metric,value
2026-07-20T23:20:28.678728909Z,CC8DA20CDB50,humidity,61.0
2026-07-20T23:20:34.007833725Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:20:34.037076198Z,CC8DA20CDB50,humidity,58.2
2026-07-20T23:20:38.816922166Z,CC8DA20CDB50,humidity,60.8
2026-07-20T23:20:38.838763342Z,CC8DA20CDB50,humidity,60.8
2026-07-20T23:20:43.824904725Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:20:43.848938423Z,CC8DA20CDB50,humidity,60.3
2026-07-20T23:20:48.830971679Z,CC8DA20CDB50,humidity,62.5
2026-07-20T23:20:48.860411798Z,CC8DA20CDB50,humidity,62.5
2026-07-20T23:20:53.824402632Z,CC8DA20CDB50,humidity,57.1
2026-07-20T23:20:53.844013637Z,CC8DA20CDB50,humidity,57.1
2026-07-20T23:20:58.850210416Z,CC8DA20CDB50,humidity,61.3
2026-07-20T23:20:58.879272244Z,CC8DA20CDB50,humidity,61.3
2026-07-20T23:21:03.839781103Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:21:03.863432364Z,CC8DA20CDB50,humidity,58.4
2026-07-20T23:21:08.82557738Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:21:08.84434699Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:21:13.840089301Z,CC8DA20CDB50,humidity,62.9
2026-07-20T23:21:13.86997295Z,CC8DA20CDB50,humidity,62.9
2026-07-20T23:21:18.823825599Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:21:18.84994723Z,CC8DA20CDB50,humidity,57.5
2026-07-20T23:21:23.833193661Z,CC8DA20CDB50,humidity,62.3
2026-07-20T23:21:23.854093704Z,CC8DA20CDB50,humidity,62.3
2026-07-20T23:21:28.826004613Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:21:28.932560182Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:21:33.835329777Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:21:33.855087503Z,CC8DA20CDB50,humidity,62.2
2026-07-20T23:21:38.853134201Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:21:38.882955611Z,CC8DA20CDB50,humidity,59.6
2026-07-20T23:21:43.838545432Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:21:43.859650286Z,CC8DA20CDB50,humidity,57.9
2026-07-20T23:21:48.833881752Z,CC8DA20CDB50,humidity,59.7
2026-07-20T23:21:48.859669648Z,CC8DA20CDB50,humidity,59.7
2026-07-20T23:21:54.174514455Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:21:54.20045046Z,CC8DA20CDB50,humidity,62.8
2026-07-20T23:21:59.173071236Z,CC8DA20CDB50,humidity,63.0
2026-07-20T23:21:59.199328515Z,CC8DA20CDB50,humidity,63.0
2026-07-20T23:22:04.163814479Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:22:04.182606886Z,CC8DA20CDB50,humidity,62.1
2026-07-20T23:22:09.165865197Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:22:09.189938211Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:22:14.238557124Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:22:14.264843254Z,CC8DA20CDB50,humidity,60.4
2026-07-20T23:22:19.171524611Z,CC8DA20CDB50,humidity,59.3
2026-07-20T23:22:19.194255294Z,CC8DA20CDB50,humidity,59.3
2026-07-20T23:22:24.172040945Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:22:24.196331994Z,CC8DA20CDB50,humidity,58.7
2026-07-20T23:22:29.187399554Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:22:29.346378611Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:22:34.180510392Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:22:34.20572539Z,CC8DA20CDB50,humidity,61.4
2026-07-20T23:22:39.175238941Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:22:39.198105752Z,CC8DA20CDB50,humidity,57.6
2026-07-20T23:22:44.174488547Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:22:44.193792021Z,CC8DA20CDB50,humidity,58.0
2026-07-20T23:22:49.1742861Z,CC8DA20CDB50,humidity,59.8
